thumbnail, index,class,attribute,niceName,filename,file,artist,contact link,wallet,fatContent(g),sodium(mg),meltingPoint(F),emission_amunt,eRotateMin,eRotateMax,eScale,pSize,pRotate,pScale
,5000,topping-fruit,tomato,Tomato,5000-topping-fruit-tomato,Y,Jim,,,,,,,,,,,,
,5010,topping-fruit,greenpapaya,Green Papaya,5010-topping-fruit-greenpapaya,N,,,,,,,,,,,,,
,5020,topping-fruit,pineapple,Pineapple,5020-topping-fruit-pineapple,N,,,,,,,,,,,,,
,5030,topping-fruit,olives,Olives,5030-topping-fruit-olives,N,,,,,,,,,,,,,
,5040,topping-fruit,kiwi,Kiwi,5040-topping-fruit-kiwi,N,,,,,,,,,,,,,
,5050,topping-fruit,watermelon,Watermelon,5050-topping-fruit-watermelon,Y,TDogNasty,,,,,,,,,,,,
,5051,topping-fruit,watermelon,Watermelon,5051-topping-fruit-watermelon,Y,TDogNasty,,,,,,,,,,,,
,5052,topping-fruit,watermelon,Watermelon,5052-topping-fruit-watermelon,Y,TDogNasty,,,,,,,,,,,,
,5053,topping-fruit,watermelon,Watermelon,5053-topping-fruit-watermelon,Y,TDogNasty,,,,,,,,,,,,
,5400,topping-fungi,mushrooms,Mushrooms,5400-topping-fungi-mushrooms,N,,,,,,,,,,,,,
,5410,topping-fungi,truffles,,5410-topping-fungi-truffles,N,,,,,,,,,,,,,
,5420,topping-fungi,magicmushroom,Magic Mushroom,5420-topping-fungi-magicmushroom,,,,,,,,,,,,,,
,5421,topping-fungi,magicmushroom,Magic Mushroom,5421-topping-fungi-magicmushroom,,,,,,,,,,,,,,
,5422,topping-fungi,magicmushroom,Magic Mushroom,5422-topping-fungi-magicmushroom,,,,,,,,,,,,,,
,5430,topping-fungi,spaceshroom,Space Shroom,5430-topping-fungi-spaceshroom,,TK Al-Mahti,,,,,,,,,,,,
,5431,topping-fungi,spaceshroom,Space Shroom,5431-topping-fungi-spaceshroom,,TK Al-Mahti,,,,,,,,,,,,
,5440,topping-fungi,porcini,Porcini,5440-topping-fungi-porcini,,,,,,,,,,,,,,
,5441,topping-fungi,porcini,Porcini,5441-topping-fungi-porcini,,,,,,,,,,,,,,
,5450,topping-fungi,trufflepig,Truffle Pig,5450-topping-fungi-trufflepig,,,,,,,,,,,,,,
,5451,topping-fungi,trufflepig,Truffle Pig,5451-topping-fungi-trufflepig,,,,,,,,,,,,,,
,5500,topping-nut,pistachios,BentleGiant,5500-topping-nut-pistachios,N,,,,,,,,,,,,,
,5510,topping-nut,pinenuts,Carlos,5510-topping-nut-pinenuts,N,,,,,,,,,,,,,
,5520,topping-nut,peanuts,Edom,5520-topping-nut-peanuts,N,,,,,,,,,,,,,
,5530,topping-nut,pecans,,5530-topping-nut-pecans,N,,,,,,,,,,,,,
,6000,topping-seafood,shrimp,Shrimp,6000-topping-seafood-shrimp,Y,Anthony Shafer,,,,,,,,,,,,
,6010,topping-seafood,anchovies,,6010-topping-seafood-anchovies,N,,,,,,,,,,,,,
,6020,topping-seafood,lobster,,6020-topping-seafood-lobster,N,,,,,,,,,,,,,
,6030,topping-seafood,tuna,,6030-topping-seafood-tuna,N,,,,,,,,,,,,,
,6040,topping-seafood,salmon,,6040-topping-seafood-salmon,N,,,,,,,,,,,,,
,6050,topping-seafood,squid,,6050-topping-seafood-squid,N,,,,,,,,,,,,,
,6060,topping-seafood,smokedsalmon,,6060-topping-seafood-smokedsalmon,N,,,,,,,,,,,,,
,6070,topping-seafood,calamari,,6070-topping-seafood-calamari,N,,,,,,,,,,,,,
,6200,topping-bugs,crickets,Crickets,6200-topping-bugs-crickets,Y,AJ,,,,,,,,,,,,
,6201,topping-bugs,crickets,Crickets,6201-topping-bugs-crickets,Y,AJ,,,,,,,,,,,,
,6210,topping-bugs,worms,Worms,6210-topping-bugs-worms,Y,Stephen Judge,,,,,,,,,,,,
,6220,topping-bugs,wasp,,6220-topping-bugs-wasp,Y,,,,,,,,,,,,,
,6230,topping-bugs,cicada,,6230-topping-bugs-cicada,Y,,,,,,,,,,,,,
,6400,topping-eggs,dino,,6400-topping-eggs-dino,Y,,,,,,,,,,,,,
,6400,topping-eggs,gold,,6400-topping-eggs-gold,Y,,,,,,,,,,,,,
,6500,topping-space,astronaut,Astronaut,6500-topping-space-astronaut,N,Anthony Shafer,,,,,,,,,,,,
,6510,topping-space,lunarlander,Lunar Lander,6510-topping-space-lunarlander,N,Anthony Shafer,,,,,,,,,,,,
,6520,topping-space,sputnik,Sputnik,6520-topping-space-sputnik,N,,,,,,,,,,,,,
,6530,topping-space,,,6530-topping-space-,N,,,,,,,,,,,,,
,6700,topping-misc,,,6700-topping-misc-,N,,,,,,,,,,,,,
,6800,topping-candy,snaprocks,Snap Rocks,6800-topping-candy-snaprocks,N,Roze,,,,,,,,,,,,
,6810,topping-candy,,,6810-topping-candy-,N,,,,,,,,,,,,,
,6900,topping-crypto,swoledoge,,6900-topping-crypto-swoledoge,N,,,,,,,,,,,,,
,8000,extra-special,laszlo,,8000-extra-special-laszlo,N,,,,,,,,,,,,,
,8010,extra-special,rockandrolltesla,,8010-extra-special-rockandrolltesla,N,,,,,,,,,,,,,
,8020,extra-special,poplogo,Exploding Snap Rocks,8020-extra-special-poplogo,N,Roze,,,,,,,,,,,,
,8230,extra-squirt,mayo,,8230-extra-squirt-mayo,N,,,,,,,,,,,,,
,8500,cheese,korbacik,,8500-cheese-korbacik,Y,,,,,,,,,,,,,
,8510,extra-cheese,feta,Feta,8510-extra-cheese-feta,N,Anthony Moore,,,,,,,,,,,,
,9000,seasoning-spice,glitter,Red glitter Sauce ,9000-seasoning-spice-glitter,N,Lauren Simon,,,,,,,,,,,,
,9010,seasoning-spice,cardamon,,9010-seasoning-spice-cardamon,N,,,,,,,,,,,,,
,9020,seasoning-spice,paprika,,9020-seasoning-spice-paprika,N,,,,,,,,,,,,,
,9030,seasoning-spice,blackpepper,,9030-seasoning-spice-blackpepper,N,,,,,,,,,,,,,
,9040,seasoning-spice,pepperflakes,,9040-seasoning-spice-pepperflakes,N,,,,,,,,,,,,,
,9050,seasoning-spice,garlicpowder,,9050-seasoning-spice-garlicpowder,N,,,,,,,,,,,,,
,,,,,,N,,,,,,,,,,,,,
,,,,,,N,,,,,,,,,,,,,
